X,Y,OBJECTID,Mile,Section_Name,FolderPath,Region
-121.358254291,47.2408903830001,"3997",2372.5,WA Section I Mile Marker,Mile Marker/5 - Washington/WA Section I,Washington Mile Marker
-118.8550927,37.2229705,"3998",858.5,CA Section H Mile Marker,Mile Marker/2 - Central California/CA Section H,Central California Mile Marker
-119.789701632,38.5390820630001,"3999",1047.5,CA Section J Mile Marker,Mile Marker/2 - Central California/CA Section J,Central California Mile Marker
-116.6997509,33.8001211000001,"4000",185.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-119.40705543,37.9484213110001,"4001",952.5,CA Section I Mile Marker,Mile Marker/2 - Central California/CA Section I,Central California Mile Marker
-116.7067829,33.7996236000001,"4002",185,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-121.7292345,44.9705933000001,"4003",2064,OR Section F Mile Marker,Mile Marker/4 - Oregon/OR Section F,Oregon Mile Marker
-120.431256846,39.432590696,"4004",1172,CA Section L Mile Marker,Mile Marker/3 - Northern California/CA Section L,Northern California Mile Marker
-118.264878,35.1160339,"4005",570.5,CA Section F Mile Marker,Mile Marker/1 - Southern California/CA Section F,Southern California Mile Marker
-116.978287795,34.300461152,"4006",285.5,CA Section C Mile Marker,Mile Marker/1 - Southern California/CA Section C,Southern California Mile Marker
-116.704063007,33.7835498310001,"4007",183.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-119.0882192,37.6359852000001,"4008",910.5,CA Section H Mile Marker,Mile Marker/2 - Central California/CA Section H,Central California Mile Marker
-118.3465641,34.600249423,"4009",469,CA Section E Mile Marker,Mile Marker/1 - Southern California/CA Section E,Southern California Mile Marker
-121.0869468,47.8033892,"4010",2474,WA Section K Mile Marker,Mile Marker/5 - Washington/WA Section K,Washington Mile Marker
-121.4200644,46.993903,"4011",2340,WA Section I Mile Marker,Mile Marker/5 - Washington/WA Section I,Washington Mile Marker
-118.1406899,35.9219846,"4012",694,CA Section G Mile Marker,Mile Marker/2 - Central California/CA Section G,Central California Mile Marker
-116.692995531,33.782104739,"4013",182.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.688219019,33.7858231210001,"4014",182,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-120.7435695,48.8581701000001,"4015",2640.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-121.1173326,48.1588769000001,"4016",2532.5,WA Section K Mile Marker,Mile Marker/5 - Washington/WA Section K,Washington Mile Marker
-116.671383001,34.0097387340001,"4017",220,CA Section C Mile Marker,Mile Marker/1 - Southern California/CA Section C,Southern California Mile Marker
-120.7277516,48.8096241000001,"4018",2634.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-121.812441864,45.9532319730001,"4019",2204.5,WA Section H Mile Marker,Mile Marker/5 - Washington/WA Section H,Washington Mile Marker
-118.649372872,34.713641153,"4020",506,CA Section E Mile Marker,Mile Marker/1 - Southern California/CA Section E,Southern California Mile Marker
-118.869158,37.2580532000001,"4021",863.5,CA Section H Mile Marker,Mile Marker/2 - Central California/CA Section H,Central California Mile Marker
-116.674955056,33.7866113330001,"4022",181,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-119.122258,37.7160292,"4023",920.5,CA Section H Mile Marker,Mile Marker/2 - Central California/CA Section H,Central California Mile Marker
-117.5222763,34.2892978,"4024",350.5,CA Section D Mile Marker,Mile Marker/1 - Southern California/CA Section D,Southern California Mile Marker
-119.763126437,38.493895873,"4025",1041.5,CA Section J Mile Marker,Mile Marker/2 - Central California/CA Section J,Central California Mile Marker
-116.6730564,33.781301,"4026",180.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.6717577,33.7794041000001,"4027",180,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-119.5860672,38.1790399000001,"4028",998,CA Section I Mile Marker,Mile Marker/2 - Central California/CA Section I,Central California Mile Marker
-118.246983762,35.240686345,"4029",585,CA Section F Mile Marker,Mile Marker/1 - Southern California/CA Section F,Southern California Mile Marker
-122.5820215,42.0434854000001,"4030",1723,OR Section B Mile Marker,Mile Marker/4 - Oregon/OR Section B,Oregon Mile Marker
-116.674024211,33.7696649220001,"4031",179,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.671086978,33.76341538,"4032",178.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-121.5041813,46.8919826000001,"4033",2328,WA Section I Mile Marker,Mile Marker/5 - Washington/WA Section I,Washington Mile Marker
-116.6931044,33.946084,"4034",211.5,CA Section C Mile Marker,Mile Marker/1 - Southern California/CA Section C,Southern California Mile Marker
-118.3865385,36.6378876000001,"4035",775.5,CA Section H Mile Marker,Mile Marker/2 - Central California/CA Section H,Central California Mile Marker
-121.387183612,40.053066648,"4036",1301.5,CA Section N Mile Marker,Mile Marker/3 - Northern California/CA Section N,Northern California Mile Marker
-116.671633981,33.757495014,"4037",178,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-122.0280572,45.7650414,"4038",2169.5,WA Section H Mile Marker,Mile Marker/5 - Washington/WA Section H,Washington Mile Marker
-118.1388167,36.4150652000001,"4039",743,CA Section G Mile Marker,Mile Marker/2 - Central California/CA Section G,Central California Mile Marker
-117.700137975,34.36897214,"4040",368.5,CA Section D Mile Marker,Mile Marker/1 - Southern California/CA Section D,Southern California Mile Marker
-116.662892981,33.7609289970001,"4041",177,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.655948004,33.76272901,"4042",176.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-122.6509884,41.2844043000001,"4043",1556,CA Section P Mile Marker,Mile Marker/3 - Northern California/CA Section P,Northern California Mile Marker
-121.3400724,47.2756629,"4044",2376.5,WA Section I Mile Marker,Mile Marker/5 - Washington/WA Section I,Washington Mile Marker
-116.648707967,33.7620899730001,"4045",176,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-121.165902,48.0866184000001,"4046",2511.5,WA Section K Mile Marker,Mile Marker/5 - Washington/WA Section K,Washington Mile Marker
-118.640657365,34.7406081020001,"4047",511.5,CA Section E Mile Marker,Mile Marker/1 - Southern California/CA Section E,Southern California Mile Marker
-121.003742747,39.7857024690001,"4048",1245,CA Section M Mile Marker,Mile Marker/3 - Northern California/CA Section M,Northern California Mile Marker
-118.212222416,34.3783723940001,"4049",432.5,CA Section D Mile Marker,Mile Marker/1 - Southern California/CA Section D,Southern California Mile Marker
-121.109552,47.7843917000001,"4050",2471.5,WA Section K Mile Marker,Mile Marker/5 - Washington/WA Section K,Washington Mile Marker
-116.897856227,34.287133473,"4051",276.5,CA Section C Mile Marker,Mile Marker/1 - Southern California/CA Section C,Southern California Mile Marker
-121.1476822,48.1661687000001,"4052",2525.5,WA Section K Mile Marker,Mile Marker/5 - Washington/WA Section K,Washington Mile Marker
-116.696300241,33.9405642,"4053",211,CA Section C Mile Marker,Mile Marker/1 - Southern California/CA Section C,Southern California Mile Marker
-121.7512479,44.9344474000001,"4054",2060,OR Section F Mile Marker,Mile Marker/4 - Oregon/OR Section F,Oregon Mile Marker
-121.408725713,40.793404122,"4055",1390.5,CA Section N Mile Marker,Mile Marker/3 - Northern California/CA Section N,Northern California Mile Marker
-122.5212668,41.2157692000001,"4056",1527.5,CA Section P Mile Marker,Mile Marker/3 - Northern California/CA Section P,Northern California Mile Marker
-116.648285016,33.757047001,"4057",175,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-118.138075,36.2161471000001,"4058",720.5,CA Section G Mile Marker,Mile Marker/2 - Central California/CA Section G,Central California Mile Marker
-116.648596991,33.7451609600001,"4059",174,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.645314511,33.7390438680001,"4060",172.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-118.196394857,34.3834145020001,"4061",431,CA Section D Mile Marker,Mile Marker/1 - Southern California/CA Section D,Southern California Mile Marker
-122.145652645,41.1281240380001,"4062",1482.5,CA Section O Mile Marker,Mile Marker/3 - Northern California/CA Section O,Northern California Mile Marker
-123.0066203,41.9389279000001,"4063",1681.5,CA Section R Mile Marker,Mile Marker/3 - Northern California/CA Section R,Northern California Mile Marker
-116.995379967,34.2945709430001,"4064",287,CA Section C Mile Marker,Mile Marker/1 - Southern California/CA Section C,Southern California Mile Marker
-116.639389973,33.7323669900001,"4065",171.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.628598021,33.7246259670001,"4066",170,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-117.943158249,34.3495731510001,"4067",399.5,CA Section D Mile Marker,Mile Marker/1 - Southern California/CA Section D,Southern California Mile Marker
-119.862492957,38.6095997140001,"4068",1062.5,CA Section J Mile Marker,Mile Marker/2 - Central California/CA Section J,Central California Mile Marker
-121.9154959,43.9124644,"4069",1942.5,OR Section E Mile Marker,Mile Marker/4 - Oregon/OR Section E,Oregon Mile Marker
-121.41616695,40.8315900480001,"4070",1393.5,CA Section N Mile Marker,Mile Marker/3 - Northern California/CA Section N,Northern California Mile Marker
-116.655139259,34.0294527390001,"4071",222.5,CA Section C Mile Marker,Mile Marker/1 - Southern California/CA Section C,Southern California Mile Marker
-116.612078967,33.6954720320001,"4072",167,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-120.0228917,38.7342142000001,"4073",1082,CA Section J Mile Marker,Mile Marker/2 - Central California/CA Section J,Central California Mile Marker
-116.665236482,33.9601803260001,"4074",214,CA Section C Mile Marker,Mile Marker/1 - Southern California/CA Section C,Southern California Mile Marker
-116.609023008,33.6900060250001,"4075",166.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-118.443152653,34.649703763,"4076",483.5,CA Section E Mile Marker,Mile Marker/1 - Southern California/CA Section E,Southern California Mile Marker
-117.9408037,34.3518476,"4077",398.5,CA Section D Mile Marker,Mile Marker/1 - Southern California/CA Section D,Southern California Mile Marker
-116.601506034,33.6823589630001,"4078",165,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-121.359473595,40.5311595490001,"4079",1360.5,CA Section N Mile Marker,Mile Marker/3 - Northern California/CA Section N,Northern California Mile Marker
-122.3688001,41.1667873000001,"4080",1509.5,CA Section P Mile Marker,Mile Marker/3 - Northern California/CA Section P,Northern California Mile Marker
-116.711749638,33.828923875,"4081",188.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-122.2732009,42.420940644,"4082",1777,OR Section C Mile Marker,Mile Marker/4 - Oregon/OR Section C,Oregon Mile Marker
-116.590235978,33.6774109580001,"4083",164,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-119.604279045,38.165713173,"4084",996.5,CA Section I Mile Marker,Mile Marker/2 - Central California/CA Section I,Central California Mile Marker
-116.619747796,33.7020917780001,"4085",168,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-121.978536122,43.730801883,"4086",1925,OR Section E Mile Marker,Mile Marker/4 - Oregon/OR Section E,Oregon Mile Marker
-121.376015438,40.553166806,"4087",1362.5,CA Section N Mile Marker,Mile Marker/3 - Northern California/CA Section N,Northern California Mile Marker
-118.236471403,36.4599492740001,"4088",753,CA Section G Mile Marker,Mile Marker/2 - Central California/CA Section G,Central California Mile Marker
-118.118889732,35.5953287780001,"4089",640,CA Section F Mile Marker,Mile Marker/1 - Southern California/CA Section F,Southern California Mile Marker
-116.583678983,33.674287023,"4090",163.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.578832986,33.669782002,"4091",163,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-117.59291,34.3151158000001,"4092",357.5,CA Section D Mile Marker,Mile Marker/1 - Southern California/CA Section D,Southern California Mile Marker
-116.9322281,34.2883866,"4093",280,CA Section C Mile Marker,Mile Marker/1 - Southern California/CA Section C,Southern California Mile Marker
-116.57297303,33.666279037,"4094",162.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-121.626347965,41.008075267,"4095",1418,CA Section N Mile Marker,Mile Marker/3 - Northern California/CA Section N,Northern California Mile Marker
-120.7073047,48.4856108000001,"4096",2590.5,WA Section K Mile Marker,Mile Marker/5 - Washington/WA Section K,Washington Mile Marker
-116.7197941,33.8618601000001,"4097",195,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-119.5811814,38.2504081000001,"4098",1006,CA Section I Mile Marker,Mile Marker/2 - Central California/CA Section I,Central California Mile Marker
-118.4426082,36.9757237000001,"4099",813,CA Section H Mile Marker,Mile Marker/2 - Central California/CA Section H,Central California Mile Marker
-116.566862036,33.6479800010001,"4100",161,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-121.361220851,40.3198170050001,"4101",1338,CA Section N Mile Marker,Mile Marker/3 - Northern California/CA Section N,Northern California Mile Marker
-122.2192033,42.6306188,"4102",1798,OR Section C Mile Marker,Mile Marker/4 - Oregon/OR Section C,Oregon Mile Marker
-118.4685133,37.0474296,"4103",820,CA Section H Mile Marker,Mile Marker/2 - Central California/CA Section H,Central California Mile Marker
-121.5789025,46.1856347,"4104",2237,WA Section H Mile Marker,Mile Marker/5 - Washington/WA Section H,Washington Mile Marker
-116.7054907,33.7891668,"4105",184,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-118.039477107,34.381353942,"4106",413,CA Section D Mile Marker,Mile Marker/1 - Southern California/CA Section D,Southern California Mile Marker
-121.8303802,44.2840820000001,"4107",1987.5,OR Section F Mile Marker,Mile Marker/4 - Oregon/OR Section F,Oregon Mile Marker
-117.750540719,34.3786534860001,"4108",373,CA Section D Mile Marker,Mile Marker/1 - Southern California/CA Section D,Southern California Mile Marker
-121.573356912,40.961095566,"4109",1412,CA Section N Mile Marker,Mile Marker/3 - Northern California/CA Section N,Northern California Mile Marker
-116.567337038,33.634891994,"4110",159.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.567239976,33.6197690290001,"4111",158,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-119.4120131,37.9973778,"4112",960.5,CA Section I Mile Marker,Mile Marker/2 - Central California/CA Section I,Central California Mile Marker
-119.5965978,38.2533382,"4113",1007,CA Section I Mile Marker,Mile Marker/2 - Central California/CA Section I,Central California Mile Marker
-116.732036166,34.2097189260001,"4114",255.5,CA Section C Mile Marker,Mile Marker/1 - Southern California/CA Section C,Southern California Mile Marker
-123.2365087,41.7296161,"4115",1643.5,CA Section Q Mile Marker,Mile Marker/3 - Northern California/CA Section Q,Northern California Mile Marker
-118.5387566,37.0532028000001,"4116",826,CA Section H Mile Marker,Mile Marker/2 - Central California/CA Section H,Central California Mile Marker
-116.565722013,33.613126036,"4117",157.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-122.6695106,42.0659597000001,"4118",1714.5,CA Section R Mile Marker,Mile Marker/3 - Northern California/CA Section R,Northern California Mile Marker
-118.984543586,37.537770343,"4119",898,CA Section H Mile Marker,Mile Marker/2 - Central California/CA Section H,Central California Mile Marker
-116.564827664,33.6078921700001,"4120",157,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.567744985,33.6023200020001,"4121",156.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.7166935,33.8642373000001,"4122",195.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-118.3123761,35.442392,"4123",609,CA Section F Mile Marker,Mile Marker/1 - Southern California/CA Section F,Southern California Mile Marker
-118.2670974,35.2988722000001,"4124",594,CA Section F Mile Marker,Mile Marker/1 - Southern California/CA Section F,Southern California Mile Marker
-122.0182359,45.7729708000001,"4125",2170.5,WA Section H Mile Marker,Mile Marker/5 - Washington/WA Section H,Washington Mile Marker
-116.572001986,33.591023041,"4126",155.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-121.870416711,45.814320433,"4127",2186,WA Section H Mile Marker,Mile Marker/5 - Washington/WA Section H,Washington Mile Marker
-119.638723748,38.346862974,"4128",1020,CA Section J Mile Marker,Mile Marker/2 - Central California/CA Section J,Central California Mile Marker
-118.607792072,34.774921297,"4129",517.5,CA Section E Mile Marker,Mile Marker/1 - Southern California/CA Section E,Southern California Mile Marker
-121.418279697,40.6761322470001,"4130",1378,CA Section N Mile Marker,Mile Marker/3 - Northern California/CA Section N,Northern California Mile Marker
-118.6901607,37.1635656,"4131",844.5,CA Section H Mile Marker,Mile Marker/2 - Central California/CA Section H,Central California Mile Marker
-117.3791999,34.2963485000001,"4132",332.5,CA Section C Mile Marker,Mile Marker/1 - Southern California/CA Section C,Southern California Mile Marker
-120.7036173,48.5801824000001,"4133",2602.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-123.2408511,41.7255503000001,"4134",1643,CA Section Q Mile Marker,Mile Marker/3 - Northern California/CA Section Q,Northern California Mile Marker
-119.637698802,38.2961996980001,"4135",1014,CA Section I Mile Marker,Mile Marker/2 - Central California/CA Section I,Central California Mile Marker
-116.571652964,33.5833410270001,"4136",154.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.576145999,33.570113964,"4137",152.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-118.1454497,35.9921409,"4138",700.5,CA Section G Mile Marker,Mile Marker/2 - Central California/CA Section G,Central California Mile Marker
-120.572383635,39.5315156140001,"4139",1189.5,CA Section L Mile Marker,Mile Marker/3 - Northern California/CA Section L,Northern California Mile Marker
-121.90079122,45.8210439800001,"4140",2183.5,WA Section H Mile Marker,Mile Marker/5 - Washington/WA Section H,Washington Mile Marker
-116.576302992,33.5649200340001,"4141",152,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-120.245945,39.0456657,"4142",1123,CA Section K Mile Marker,Mile Marker/2 - Central California/CA Section K,Central California Mile Marker
-118.5805521,34.8361699000001,"4143",523.5,CA Section E Mile Marker,Mile Marker/1 - Southern California/CA Section E,Southern California Mile Marker
