Mile,Number_Of_People,Night_Survey,Snow_Percent,count,count_people_cor,count_surveyor_acc,count_night,count_snow,geometry,count_group
2510,2,FALSE,0,0.0857011650635735,0.189508633043232,0.197858893576978,0.0857011650635735,0.0857011650635735,-121.1544358|48.0725263,1-10
2520,2,FALSE,0,3,6.63381762322555,6.92612148610367,3,3,-121.1712026|48.1481018000001,1-10
2530,1,FALSE,0,0.346575696026009,1.13962380817998,0.800141791602358,0.346575696026009,0.346575696026009,-121.1298427|48.1690505,1-10
2540,2,FALSE,0,0.314005549979846,0.694351850415646,0.724946862157071,0.314005549979846,0.314005549979846,-121.0519188|48.1827934,1-10
2550,2,FALSE,0,0.248755782300771,0.550066830835372,0.5743042561953,0.248755782300771,0.248755782300771,-120.9966411|48.1864764000001,1-10
2560,1,FALSE,0,1,3.2882392540718,2.30870716203456,1,1,-120.95193639|48.2418955680001,1-10
2570,2,FALSE,0,1,2.21127254107518,2.30870716203456,1,1,-120.8946196|48.3501858000001,1-10
2580,2,FALSE,0,1,2.21127254107518,2.30870716203456,1,1,-120.8687899|48.4347564,1-10
2590,1,FALSE,0,3,9.86471776221539,6.92612148610367,3,3,-120.7091106|48.4791423,1-10
2600,2,FALSE,0,0.0544640643384598,0.120434889946988,0.125741575411713,0.0544640643384598,0.0544640643384598,-120.6899226|48.5613627000001,1-10
2610,2,FALSE,0,1,2.21127254107518,2.30870716203456,1,1,-120.7440253|48.6361871,1-10
2620,2,FALSE,0,1,2.21127254107518,2.30870716203456,1,1,-120.7023717|48.6954763000001,1-10
2630,2,FALSE,0,0.0738928263813483,0.163397177959512,0.170596897489595,0.0738928263813483,0.0738928263813483,-120.715453518|48.7732261640001,1-10
2640,3,FALSE,0,0.237752568748399,0.353546347088796,0.548901058261543,0.237752568748399,0.237752568748399,-120.748456056|48.8585633770001,1-10
2650,2,FALSE,0,1,2.21127254107518,2.30870716203456,1,1,-120.7665871|48.9408525000001,1-10
